,cond,choiceType,prime,target,effect,corrResp,resp,pos,block,fixTime,ifcorr,RT,soa_rating,rating_RT,delay1,delay2,ITI,saveTime
105,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,121,False,0.0,0,0.0,,,,
106,comp,Free,prime_left.png,target_both.png,,dl,left,-5.0,1,129,False,0.0,0,0.0,,,,
107,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,135,False,0.0,0,0.0,,,,
108,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,141,False,0.0,0,0.0,,,,
109,comp,Cued,prime_right.png,target_right.png,,l,right,5.0,1,115,False,0.0,0,0.0,,,,
110,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,134,False,0.0,0,0.0,,,,
111,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,126,False,0.0,0,0.0,,,,
112,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,131,False,0.0,0,0.0,,,,
113,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,134,False,0.0,0,0.0,,,,
114,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,138,False,0.0,0,0.0,,,,
115,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,100,False,0.0,0,0.0,,,,
116,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,145,False,0.0,0,0.0,,,,
117,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,145,False,0.0,0,0.0,,,,
118,comp,Cued,prime_right.png,target_right.png,,l,right,5.0,1,116,False,0.0,0,0.0,,,,
119,incomp,Cued,prime_right.png,target_left.png,,d,left,5.0,1,108,False,0.0,0,0.0,,,,
120,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,141,False,0.0,0,0.0,,,,
121,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,143,False,0.0,0,0.0,,,,
122,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,103,False,0.0,0,0.0,,,,
123,incomp,Free,prime_right.png,target_both.png,,dl,left,5.0,1,141,False,0.0,0,0.0,,,,
124,incomp,Cued,prime_right.png,target_left.png,,d,left,5.0,1,127,False,0.0,0,0.0,,,,
125,comp,Cued,prime_right.png,target_right.png,,l,right,5.0,1,110,False,0.0,0,0.0,,,,
126,comp,Free,prime_left.png,target_both.png,,dl,left,5.0,1,106,False,0.0,0,0.0,,,,
127,comp,Cued,prime_right.png,target_right.png,,l,right,5.0,1,123,False,0.0,0,0.0,,,,
128,comp,Free,prime_left.png,target_both.png,,dl,left,-5.0,1,112,False,0.0,0,0.0,,,,
129,incomp,Free,prime_right.png,target_both.png,,dl,left,5.0,1,119,False,0.0,0,0.0,,,,
130,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,122,False,0.0,0,0.0,,,,
131,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,133,False,0.0,0,0.0,,,,
132,comp,Free,prime_left.png,target_both.png,,dl,left,-5.0,1,149,False,0.0,0,0.0,,,,
133,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,118,False,0.0,0,0.0,,,,
134,comp,Free,prime_left.png,target_both.png,,dl,left,5.0,1,140,False,0.0,0,0.0,,,,
135,comp,Cued,prime_right.png,target_right.png,,l,right,-5.0,1,143,False,0.0,0,0.0,,,,
136,comp,Cued,prime_right.png,target_right.png,,l,right,5.0,1,112,False,0.0,0,0.0,,,,
137,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,122,False,0.0,0,0.0,,,,
138,comp,Cued,prime_left.png,target_left.png,,d,left,5.0,1,104,False,0.0,0,0.0,,,,
139,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,103,False,0.0,0,0.0,,,,
140,incomp,Free,prime_right.png,target_both.png,,dl,left,5.0,1,123,False,0.0,0,0.0,,,,
141,incomp,Cued,prime_left.png,target_right.png,,l,right,-5.0,1,111,False,0.0,0,0.0,,,,
142,incomp,Free,prime_right.png,target_both.png,,dl,left,5.0,1,103,False,0.0,0,0.0,,,,
143,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,110,False,0.0,0,0.0,,,,
144,incomp,Cued,prime_left.png,target_right.png,,l,right,5.0,1,124,False,0.0,0,0.0,,,,
145,incomp,Cued,prime_right.png,target_left.png,,d,left,5.0,1,110,False,0.0,0,0.0,,,,
146,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,102,False,0.0,0,0.0,,,,
147,comp,Free,prime_right.png,target_both.png,,dl,right,-5.0,1,106,False,0.0,0,0.0,,,,
148,comp,Free,prime_left.png,target_both.png,,dl,left,5.0,1,107,False,0.0,0,0.0,,,,
149,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,139,False,0.0,0,0.0,,,,
150,incomp,Free,prime_right.png,target_both.png,,dl,left,-5.0,1,117,False,0.0,0,0.0,,,,
151,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,121,False,0.0,0,0.0,,,,
152,incomp,Free,prime_right.png,target_both.png,,dl,left,5.0,1,101,False,0.0,0,0.0,,,,
153,comp,Free,prime_right.png,target_both.png,,dl,right,5.0,1,139,False,0.0,0,0.0,,,,
154,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,114,False,0.0,0,0.0,,,,
155,incomp,Free,prime_left.png,target_both.png,,dl,right,5.0,1,140,False,0.0,0,0.0,,,,
156,incomp,Cued,prime_right.png,target_left.png,,d,left,5.0,1,117,False,0.0,0,0.0,,,,
157,comp,Cued,prime_left.png,target_left.png,,d,left,-5.0,1,102,False,0.0,0,0.0,,,,
158,incomp,Free,prime_left.png,target_both.png,,dl,right,-5.0,1,100,False,0.0,0,0.0,,,,
159,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,127,False,0.0,0,0.0,,,,
160,incomp,Cued,prime_right.png,target_left.png,,d,left,-5.0,1,140,False,0.0,0,0.0,,,,
161,incomp,Free,prime_left.png,target_both.png,cross,dl,NoResp,5.0,1,137,False,,0,0.0,,,,
